r1,r2,r3,a1,b1,a2,b2,a3,b3
1,2,3,6,1,12,1,18,1
1,2,5,10,7,20,13,50,31
1,2,7,14,3,28,5,98,15
1,2,11,22,5,44,9,242,45
1,2,13,26,19,52,37,338,235
1,2,17,34,25,68,49,578,409
1,2,19,38,9,76,17,722,153
1,2,23,46,11,92,21,1058,231
1,2,29,58,43,116,85,1682,1219
1,2,31,62,15,124,29,1922,435
1,3,4,12,5,36,13,48,17
1,3,5,15,13,45,37,75,61
1,3,7,21,2,63,4,147,8
1,3,8,24,13,72,37,192,97
1,3,10,30,23,90,67,300,221
1,3,11,33,7,99,19,363,67
1,3,13,39,17,117,49,507,209
1,3,14,42,37,126,109,588,505
1,3,16,48,5,144,13,768,65
1,3,17,51,28,153,82,867,460
1,3,19,57,44,171,130,1083,818
1,3,20,60,13,180,37,1200,241
1,3,22,66,29,198,85,1452,617
1,3,23,69,61,207,181,1587,1381
1,3,26,78,43,234,127,2028,1093
1,3,28,84,65,252,193,2352,1793
1,3,29,87,19,261,55,2523,523
1,3,31,93,41,279,121,2883,1241
1,3,32,96,85,288,253,3072,2689
1,4,5,20,11,80,41,100,51
1,4,7,28,5,112,17,196,29
1,4,11,44,41,176,161,484,441
1,4,13,52,3,208,9,676,27
1,4,17,68,55,272,217,1156,919
1,4,19,76,33,304,129,1444,609
1,4,23,92,17,368,65,2116,369
1,4,29,116,7,464,25,3364,175
1,4,31,124,85,496,337,3844,2605
1,5,6,30,19,150,91,180,109
1,5,7,35,32,175,156,245,218
1,5,8,40,3,200,11,320,17
1,5,11,55,24,275,116,605,254
1,5,12,60,7,300,31,720,73
1,5,13,65,18,325,86,845,222
1,5,14,70,11,350,51,980,141
1,5,16,80,19,400,91,1280,289
1,5,17,85,27,425,131,1445,443
1,5,18,90,43,450,211,1620,757
1,5,19,95,91,475,451,1805,1711
1,5,22,110,57,550,281,2420,1233
1,5,23,115,78,575,386,2645,1772
1,5,24,120,91,600,451,2880,2161
1,5,26,130,109,650,541,3380,2809
1,5,28,140,123,700,611,3920,3417
1,5,29,145,81,725,401,4205,2321
1,5,31,155,99,775,491,4805,3039
1,5,32,160,147,800,731,5120,4673
1,6,7,42,29,252,169,294,197
1,6,11,66,31,396,181,726,331
1,6,13,78,41,468,241,1014,521
1,6,17,102,31,612,181,1734,511
1,6,19,114,41,684,241,2166,761
1,6,23,138,19,828,109,3174,415
1,6,29,174,169,1044,1009,5046,4873
1,6,31,186,5,1116,25,5766,125
1,7,8,56,41,392,281,448,321
1,7,10,70,37,490,253,700,361
1,7,11,77,47,539,323,847,507
1,7,12,84,53,588,365,1008,625
1,7,13,91,50,637,344,1183,638
1,7,16,112,73,784,505,1792,1153
1,7,17,119,114,833,792,2023,1922
1,7,18,126,5,882,29,2268,73
1,7,19,133,46,931,316,2527,856
1,7,20,140,57,980,393,2800,1121
1,7,22,154,69,1078,477,3388,1497
1,7,23,161,59,1127,407,3703,1335
1,7,24,168,65,1176,449,4032,1537
1,7,26,182,11,1274,71,4732,261
1,7,29,203,62,1421,428,5887,1770
1,7,30,210,17,1470,113,6300,481
1,7,31,217,177,1519,1233,6727,5457
1,7,32,224,201,1568,1401,7168,6401
1,8,11,88,37,704,289,968,397
1,8,13,104,99,832,785,1352,1275
1,8,17,136,87,1088,689,2312,1463
1,8,19,152,45,1216,353,2888,837
1,8,23,184,89,1472,705,4232,2025
1,8,29,232,163,1856,1297,6728,4699
1,8,31,248,89,1984,705,7688,2729
1,10,11,110,89,1100,881,1210,969
1,10,13,130,113,1300,1121,1690,1457
1,10,17,170,107,1700,1061,2890,1803
1,10,19,190,131,1900,1301,3610,2471
1,10,23,230,223,2300,2221,5290,5107
1,10,29,290,171,2900,1701,8410,4931
1,10,31,310,189,3100,1881,9610,5829
1,11,12,132,109,1452,1189,1584,1297
1,11,13,143,137,1573,1497,1859,1769
1,11,14,154,117,1694,1277,2156,1625
1,11,16,176,13,1936,133,2816,193
1,11,17,187,20,2057,210,3179,324
1,11,18,198,157,2178,1717,3564,2809
1,11,19,209,202,2299,2212,3971,3820
1,11,20,220,149,2420,1629,4400,2961
1,11,23,253,186,2783,2036,5819,4256
1,11,24,264,181,2904,1981,6336,4321
1,11,26,286,85,3146,925,7436,2185
1,11,28,308,229,3388,2509,8624,6385
1,11,29,319,311,3509,3411,9251,8991
1,11,30,330,169,3630,1849,9900,5041
1,11,31,341,138,3751,1508,10571,4248
1,11,32,352,221,3872,2421,11264,7041
1,12,13,156,131,1872,1561,2028,1691
1,12,17,204,7,2448,73,3468,103
1,12,19,228,125,2736,1489,4332,2357
1,12,23,276,205,3312,2449,6348,4693
1,12,29,348,331,4176,3961,10092,9571
1,12,31,372,173,4464,2065,11532,5333
1,13,14,182,155,2366,2003,2548,2157
1,13,16,208,43,2704,547,3328,673
1,13,17,221,81,2873,1041,3757,1361
1,13,18,234,83,3042,1067,4212,1477
1,13,19,247,54,3211,690,4693,1008
1,13,20,260,63,3380,807,5200,1241
1,13,22,286,49,3718,625,6292,1057
1,13,23,299,191,3887,2471,6877,4371
1,13,24,312,59,4056,755,7488,1393
1,13,28,364,71,4732,911,10192,1961
1,13,29,377,368,4901,4772,10933,10644
1,13,30,390,263,5070,3407,11700,7861
1,13,31,403,174,5239,2250,12493,5364
1,13,32,416,379,5408,4915,13312,12097
1,14,17,238,23,3332,309,4046,375
1,14,19,266,137,3724,1905,5054,2585
1,14,23,322,87,4508,1205,7406,1979
1,14,29,406,321,5684,4481,11774,9281
1,14,31,434,135,6076,1877,13454,4155
1,16,17,272,239,4352,3809,4624,4047
1,16,19,304,165,4864,2625,5776,3117
1,16,23,368,217,5888,3457,8464,4969
1,16,29,464,299,7424,4769,13456,8643
1,16,31,496,401,7936,6401,15376,12401
1,17,18,306,271,5202,4591,5508,4861
1,17,19,323,314,5491,5322,6137,5948
1,17,20,340,147,5780,2483,6800,2921
1,17,22,374,163,6358,2755,8228,3565
1,17,23,391,303,6647,5135,8993,6947
1,17,24,408,199,6936,3367,9792,4753
1,17,26,442,185,7514,3129,11492,4785
1,17,28,476,275,8092,4659,13328,7673
1,17,29,493,75,8381,1259,14297,2147
1,17,30,510,217,8670,3673,15300,6481
1,17,31,527,516,8959,8756,16337,15966
1,17,32,544,111,9248,1871,17408,3521
1,18,19,342,305,6156,5473,6498,5777
1,18,23,414,313,7452,5617,9522,7177
1,18,29,522,211,9396,3781,15138,6091
1,18,31,558,353,10044,6337,17298,10913
1,19,20,380,341,7220,6461,7600,6801
1,19,22,418,367,7942,6955,9196,8053
1,19,23,437,52,8303,970,10051,1174
1,19,24,456,53,8664,989,10944,1249
1,19,26,494,483,9386,9159,12844,12533
1,19,28,532,249,10108,4713,14896,6945
1,19,29,551,264,10469,4998,15979,7628
1,19,30,570,221,10830,4181,17100,6601
1,19,31,589,106,11191,1996,18259,3256
1,19,32,608,453,11552,8589,19456,14465
1,20,23,460,353,9200,7041,10580,8097
1,20,29,580,71,11600,1401,16820,2031
1,20,31,620,389,12400,7761,19220,12029
1,22,23,506,461,11132,10121,11638,10581
1,22,29,638,25,14036,529,18502,697
1,22,31,682,193,15004,4225,21142,5953
1,23,24,552,505,12696,11593,13248,12097
